# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 0.5 and log2-fold change cutoff 0 in experiment E-PROT-59
# Timestamp: Mon, 15-Dec-2025 20:43:14
Gene ID	Gene Name	'clear cell renal cell carcinoma' vs 'normal' .foldChange	'clear cell renal cell carcinoma' vs 'normal'.pValue	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma' .foldChange	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma'.pValue
ENSG00000120265	PCMT1	-0.4	1.47E-5	0.4	0.134010526
ENSG00000120437	ACAT2	0.4	7.99894E-4		
ENSG00000120438	TCP1	-0.4	0.30341561	0.6	0.416047381
ENSG00000120533	ENY2	-0.5	0.110868968		
ENSG00000120686	UFM1	-0.5	0.01244346	0.5	0.142461115
ENSG00000120705	ETF1	0.4	0.164819496	-0.3	0.48535945
ENSG00000120708	TGFBI	-0.5	0.237907952		
ENSG00000120885	CLU	0.7	4.28366E-4	-0.4	0.408268988
ENSG00000121022	COPS5	-0.6	3.26293E-4		
ENSG00000121060	TRIM25	-1.0	2.82444E-4	-0.5	0.020529965
ENSG00000121552	CSTA			0.2	0.498473545
ENSG00000121691	CAT	1.3	1.77E-5	-0.3	0.178830782
ENSG00000121749	TBC1D15	-0.7	0.004641539	0.4	0.081556242
ENSG00000121769	FABP3	1.1	0.003045679		
ENSG00000121774	KHDRBS1	-0.3	0.007778788	-0.3	0.189820833
ENSG00000122026	RPL21	-0.6	0.01978206	-0.3	0.197553862
ENSG00000122406	RPL5	-1.0	0.006940595		
ENSG00000122545	SEPTIN7	-1.0	5.11E-8	0.6	0.004068931
ENSG00000122565	CBX3	-0.6	0.008492746	0.2	0.433940065
ENSG00000122566	HNRNPA2B1			-0.4	0.096160119
ENSG00000122692	SMU1	-0.7	0.001305309		
ENSG00000122705	CLTA	0.4	3.1156E-4	-0.6	0.017528704
ENSG00000122786	CALD1	-0.6	0.019244057		
ENSG00000122870	BICC1			0.5	0.349919228
ENSG00000123144	TRIR	-0.4	0.027518121		
ENSG00000123240	OPTN	-0.3	0.019335145		
ENSG00000123349	PFDN5	-0.4	0.119547677	0.5	0.233977724
ENSG00000123992	DNPEP	-1.2	1.32E-8	0.6	7.96E-5
ENSG00000124164	VAPB	0.3	0.092940783	-0.6	0.011200893
ENSG00000124172	ATP5F1E	1.5	2.01811E-4	-1.7	1.14059E-4
ENSG00000124198	ARFGEF2	0.7	5.08E-5	-0.5	0.049060322
ENSG00000124207	CSE1L	-0.8	0.074647033		
ENSG00000124357	NAGK	-0.7	0.006188873		
ENSG00000124486	USP9X	-0.4	0.17278749	0.2	0.497580461
ENSG00000124562	SNRPC	-0.7	7.68E-5	0.4	0.029726602
ENSG00000124570	SERPINB6	0.6	0.198709598	1.4	0.010671642
ENSG00000124610	H1-1	-0.4	0.003371662	0.4	0.036800055
ENSG00000124614	RPS10	-0.6	0.013906942	0.9	0.019570529
ENSG00000124831	LRRFIP1	-0.3	0.016692725		
ENSG00000125166	GOT2	1.7	0.006102636	-3.2	2.69457E-4
ENSG00000125458	NT5C	-0.8	0.12670053		
ENSG00000125691	RPL23	-0.9	7.80566E-4		
ENSG00000125730	C3	-0.2	0.242921276	1.1	1.18E-6
ENSG00000125743	SNRPD2			0.3	0.082210079
ENSG00000125821	DTD1	-0.1	0.23019469	-0.4	0.074451762
ENSG00000125868	DSTN	-0.5	0.001234408	1.2	3.81E-7
ENSG00000125870	SNRPB2	-0.2	0.082708513		
ENSG00000125970	RALY			-0.8	0.053766145
ENSG00000125971	DYNLRB1	-0.4	0.002940409		
ENSG00000126067	PSMB2	-0.6	0.001547669	0.3	0.101232372
ENSG00000126088	UROD	0.3	0.193318493	-1.0	0.002072499
ENSG00000126247	CAPNS1	-0.7	0.050459329		
ENSG00000126432	PRDX5	0.7	1.94E-5	-1.4	0.007219506
ENSG00000126457	PRMT1	-0.8	0.019031727	-0.2	0.465513769
ENSG00000126953	TIMM8A	0.7	4.8E-8	-1.3	4.47E-8
ENSG00000127463	EMC1			0.9	0.239587496
ENSG00000127483	HP1BP3			0.6	0.120913551
ENSG00000127540	UQCR11	1.7	1.51769E-4	-1.0	0.026341503
ENSG00000127824	TUBA4A	0.8	0.005583391	0.8	0.208919457
ENSG00000127831	VIL1	0.7	0.002498667		
ENSG00000127884	ECHS1	3.0	4.34E-11	-1.9	0.003582348
ENSG00000127914	AKAP9	2.4	7.63E-10	-1.8	0.020721351
ENSG00000127955	GNAI1	0.2	0.257548427	-0.9	7.51E-5
ENSG00000128245	YWHAH	-1.5	4.12E-12		
ENSG00000128534	LSM8	-0.6	3.29E-7		
ENSG00000128567	PODXL	0.8	4.47E-5		
ENSG00000128591	FLNC	-0.9	3.0E-5	1.7	2.99E-9
ENSG00000128595	CALU	-0.9	0.007263504	0.7	0.255100777
ENSG00000128609	NDUFA5	1.9	7.69E-9	-1.0	0.005602917
ENSG00000129084	PSMA1	-0.7	8.91E-6	0.6	0.003350767
ENSG00000129103	SUMF2	0.3	0.209619176	-0.5	0.22071676
ENSG00000129116	PALLD	-0.9	0.20013973		
ENSG00000129151	BBOX1	1.3	2.48555E-4	-0.4	0.41372964
ENSG00000129235	TXNDC17	0.5	0.008395731	-0.3	0.157106188
ENSG00000129351	ILF3	-0.3	0.39335133	-0.8	0.037250966
ENSG00000129515	SNX6	-0.5	0.045741227		
ENSG00000130175	PRKCSH	-1.0	0.001057892	-0.5	0.212956187
ENSG00000130203	APOE	0.8	5.64E-6		
ENSG00000130208	APOC1	0.4	0.248897059	0.4	0.067183733
ENSG00000130313	PGLS	-0.5	5.01518E-4	0.1	0.313582302
ENSG00000130340	SNX9	0.5	0.027670961		
ENSG00000130429	ARPC1B	-1.2	1.1049E-4		
ENSG00000130707	ASS1	4.2	4.51E-9		
ENSG00000130724	CHMP2A	-0.2	0.317591374		
ENSG00000130726	TRIM28	-0.8	0.001817195		
ENSG00000130741	EIF2S3	-0.3	0.067534765		
ENSG00000130787	HIP1R	-0.6	0.357945288		
ENSG00000130826	DKC1			-0.1	0.429636933
ENSG00000130957	FBP2	2.3	7.91065E-4		
ENSG00000130985	UBA1	-0.1	0.222668502	0.3	0.016021318
ENSG00000130988	RGN	0.8	0.001013764		
ENSG00000131016	AKAP12			1.0	0.360723069
ENSG00000131018	SYNE1	-0.8	7.29369E-4	0.6	0.089602691
ENSG00000131051	RBM39			-0.4	0.351367155
ENSG00000131100	ATP6V1E1	2.1	4.25E-11	-0.5	0.023723322
ENSG00000131143	COX4I1	2.5	1.57E-10	-3.2	0.002030875
ENSG00000131171	SH3BGRL	-0.4	0.011626763	0.8	0.029166885
ENSG00000131236	CAP1	-0.9	1.16E-6	0.4	0.02741686
ENSG00000131475	VPS25	-0.1	0.321371659	-0.4	0.039483477
ENSG00000131981	LGALS3	-1.0	7.84887E-4		
ENSG00000132141	CCT6B	-0.5	2.47E-6	0.8	0.069401578
ENSG00000132182	NUP210	-1.2	0.069171536		
ENSG00000132305	IMMT	0.6	7.76E-6	-1.1	0.010288623
ENSG00000132330	SCLY			-0.9	0.105931685
ENSG00000132341	RAN	-0.9	2.49E-8	0.3	0.099304426
ENSG00000132382	MYBBP1A			0.2	0.263623146
ENSG00000132437	DDC	1.8	3.40389E-4		
ENSG00000132463	GRSF1	-0.4	0.302888479	-0.7	0.121141697
ENSG00000132541	RIDA	1.6	0.001645619	-0.6	0.145268608
ENSG00000132780	NASP	-0.5	0.13247915	-0.4	0.425565579
ENSG00000133026	MYH10	1.1	0.09503141		
ENSG00000133112	TPT1	-0.8	0.10033712		
ENSG00000133313	CNDP2	-0.4	0.214991216		
ENSG00000133574	GIMAP4	-1.3	2.26E-6		
ENSG00000133731	IMPA1	-0.6	0.200278338	0.6	0.0987387
ENSG00000133742	CA1	-0.5	0.338575008		
ENSG00000133818	RRAS2	1.3	0.077105694	-1.0	0.118588396
ENSG00000134001	EIF2S1			-0.5	0.078965411
ENSG00000134240	HMGCS2	-0.1	0.425271785		
ENSG00000134308	YWHAQ	-1.0	8.42E-8	0.5	0.022022291
ENSG00000134330	IAH1	-0.6	0.060072863		
ENSG00000134339	SAA2	1.2	0.053558192		
ENSG00000134419	RPS15A	-1.0	0.25199747	-0.6	0.364281598
ENSG00000134440	NARS1			-0.7	0.04950095
ENSG00000134444	RELCH	-0.1	0.457753965	-0.2	0.203251732
ENSG00000134452	FBH1	-0.1	0.441117914	0.5	0.002136919
ENSG00000134463	ECHDC3	0.9	4.39788E-4	-0.6	0.188210482
ENSG00000134684	YARS1			0.8	0.038577572
ENSG00000134871	COL4A2	0.9	3.21846E-4	1.1	0.016139123
ENSG00000135018	UBQLN1	-0.1	0.195068457	-0.1	0.358695593
ENSG00000135046	ANXA1	-1.8	1.07E-5	-0.4	0.168315025
ENSG00000135316	SYNCRIP	-0.5	0.07868864	0.7	0.00253802
ENSG00000135406	PRPH	-1.0	2.64E-5	0.3	0.156483751
ENSG00000135486	HNRNPA1	-0.2	0.42069193		
ENSG00000135525	MAP7	-0.5	0.00762655	0.7	0.019325851
ENSG00000135624	CCT7	-0.3	0.239827914	0.6	0.352290441
ENSG00000135744	AGT	0.3	0.091806268		
ENSG00000135766	EGLN1	-0.9	7.28714E-4		
ENSG00000135829	DHX9	-0.3	0.287353212	-0.2	0.394731507
ENSG00000135862	LAMC1	-0.5	0.242920532		
ENSG00000135919	SERPINE2			-0.6	0.393529155
ENSG00000135929	CYP27A1	1.0	3.8E-5		
ENSG00000135940	COX5B	2.4	1.59E-13	-2.6	8.29E-5
ENSG00000135972	MRPS9	0.3	0.238944763	-1.1	0.008952867
ENSG00000136100	VPS36	-0.5	0.261233854	-0.5	0.186083674
ENSG00000136167	LCP1			0.6	0.044954155
ENSG00000136193	SCRN1			-0.8	0.004848963
ENSG00000136235	GPNMB			-3.1	0.029608162
ENSG00000136261	BZW2	1.8	7.67113E-4	-2.2	2.44734E-4
ENSG00000136450	SRSF1	-0.5	0.012996599	-0.2	0.194771159
ENSG00000136535	TBR1			0.1	0.444258354
ENSG00000136810	TXN	0.3	0.185554115		
ENSG00000136872	ALDOB	5.7	3.67E-13	-1.0	0.001115827
ENSG00000136930	PSMB7	0.3	0.292693381		
ENSG00000136942	RPL35			0.4	0.184093406
ENSG00000136950	ARPC5L	0.8	4.57E-7	-0.5	0.069048996
ENSG00000137106	GRHPR	0.4	0.492151437	-1.0	0.206017159
ENSG00000137133	HINT2	2.0	1.16E-7	-2.7	9.55593E-4
ENSG00000137154	RPS6	-0.9	4.91141E-4		
ENSG00000137267	TUBB2A	0.4	0.007597968	-0.5	0.052943124
ENSG00000137285	TUBB2B			-0.3	0.054204636
ENSG00000137486	ARRB1	-0.8	5.49193E-4		
ENSG00000137497	NUMA1	-0.4	0.01613155	0.2	0.407749884
ENSG00000137710	RDX	1.1	9.42E-6		
ENSG00000137767	SQOR	-0.2	0.327456369	-0.9	2.56028E-4
ENSG00000137818	RPLP1	-0.4	0.03891344	0.3	0.272352628
ENSG00000137880	GCHFR	1.1	2.27E-5	-0.4	0.170040802
ENSG00000137996	RTCA	0.7	0.024664452		
ENSG00000138029	HADHB	0.9	9.08E-7	-1.3	4.21E-8
ENSG00000138030	KHK	0.8	0.007718968		
ENSG00000138071	ACTR2			-1.1	0.168132
ENSG00000138119	MYOF			-1.1	0.097825265
ENSG00000138175	ARL3	-0.3	0.107496484		
ENSG00000138231	DBR1	0.6	0.273052896		
ENSG00000138279	ANXA7	0.9	0.002294471	-1.3	1.2339E-4
ENSG00000138363	ATIC	-1.0	8.96442E-4		
ENSG00000138385	SSB	-0.5	0.016774447		
ENSG00000138668	HNRNPD	-0.5	0.002100395		
ENSG00000138674	SEC31A			-0.4	0.063641505
ENSG00000138757	G3BP2			0.5	0.016634177
ENSG00000138758	SEPTIN11	-0.8	3.3E-8	0.2	0.262419688
ENSG00000138768	USO1			0.2	0.326155186
ENSG00000138777	PPA2	1.6	7.19E-5	-2.2	2.26239E-4
ENSG00000138796	HADH	2.8	5.54E-11	-2.4	1.6783E-4
ENSG00000138802	SEC24B	-0.3	0.174009246		
ENSG00000139329	LUM			2.0	7.42E-6
ENSG00000139410	SDSL	1.2	0.006998964	-0.7	0.050059335
ENSG00000139684	ESD			-0.2	0.484683553
ENSG00000139921	TMX1	-0.9	1.75E-5	0.5	0.005917689
ENSG00000140043	PTGR2	-0.4	0.322700928		
ENSG00000140105	WARS1			1.5	0.049819324
ENSG00000140263	SORD	2.0	6.86E-6	-0.6	0.01612175
ENSG00000140280	LYSMD2			-1.4	0.032029207
ENSG00000140319	SRP14	-0.5	0.022242991		
ENSG00000140350	ANP32A	-0.3	0.002249007		
ENSG00000140395	WDR61	-0.4	7.70149E-4		
ENSG00000140416	TPM1	-0.2	0.198220631	1.4	2.13E-6
ENSG00000140553	UNC45A			-1.5	0.361155651
ENSG00000140575	IQGAP1			-1.0	0.001625948
ENSG00000140988	RPS2	-1.1	6.06E-5	0.3	0.424546298
ENSG00000141198	TOM1L1	0.2	0.345804601		
ENSG00000141279	NPEPPS	-0.6	0.004984018		
ENSG00000141367	CLTC	0.3	0.084269907	-0.4	0.016857965
ENSG00000141401	IMPA2			-0.6	0.318254667
ENSG00000141959	PFKL	-1.0	1.11972E-4	1.2	0.121840844
ENSG00000142156	COL6A1	-0.9	0.097231213		
ENSG00000142168	SOD1	0.5	0.076757996		
ENSG00000142173	COL6A2	-0.7	0.026509073	2.2	3.08E-6
ENSG00000142208	AKT1	-0.5	0.039351687		
ENSG00000142230	SAE1	-0.9	0.098625744		
ENSG00000142541	RPL13A	-0.6	0.039915191		
ENSG00000142634	EFHD2			1.0	0.2499453
ENSG00000142669	SH3BGRL3	-1.2	1.78741E-4	1.5	3.61E-5
ENSG00000142676	RPL11	-0.7	1.79137E-4	0.1	0.458254076
ENSG00000142798	HSPG2	0.8	0.001909695	0.4	0.22723979
ENSG00000142910	TINAGL1	0.7	0.008463914	-0.4	0.095527221
ENSG00000142937	RPS8	-0.9	1.45587E-4	-0.8	0.003647801
ENSG00000143149	ALDH9A1	1.2	0.001388421	-0.3	0.248293809
ENSG00000143153	ATP1B1	2.6	3.87E-9	-0.9	0.003308846
ENSG00000143162	CREG1	0.4	0.206590381	-1.1	0.150437751
ENSG00000143198	MGST3	0.7	0.06736032	-1.5	0.005844167
ENSG00000143222	UFC1	-0.3	0.095957293	0.1	0.35017943
ENSG00000143256	PFDN2	-0.4	1.29063E-4	0.1	0.052656522
ENSG00000143321	HDGF	-0.3	0.220535456	0.2	0.455555336
ENSG00000143337	TOR1AIP1	-0.5	0.055387744		
ENSG00000143353	LYPLAL1	0.8	0.001209322	-1.2	0.005009234
ENSG00000143368	SF3B4	-0.3	0.001082985		
ENSG00000143416	SELENBP1	2.4	2.99E-10		
ENSG00000143420	ENSA	-0.3	0.385472569		
ENSG00000143549	TPM3			0.3	0.105589339
ENSG00000143621	ILF2	-1.4	0.006734085	-0.7	0.116700358
ENSG00000143774	GUK1			-0.1	0.365179194
ENSG00000143870	PDIA6	-0.8	0.007799297	0.9	0.010081024
ENSG00000143891	GALM	0.8	0.002525872		
ENSG00000144029	MRPS5	-0.3	0.093520855		
ENSG00000144118	RALB	-0.3	0.132877929		
ENSG00000144381	HSPD1	1.1	9.05E-5	-1.8	7.95E-7
ENSG00000144566	RAB5A	-0.2	0.22178135		
ENSG00000144591	GMPPA	-0.5	2.52029E-4	0.2	0.127268875
ENSG00000144840	RABL3	0.1	0.441426302	-0.4	0.040196775
ENSG00000144867	SRPRB			0.6	0.14330088
ENSG00000144908	ALDH1L1	0.9	0.011292366	0.6	0.323040571
ENSG00000145012	LPP	-0.2	0.042638411	0.5	0.002842698
ENSG00000145192	AHSG	-1.0	0.131691559	0.8	0.202626386
ENSG00000145293	ENOPH1	-0.3	0.263295316	-0.1	0.497622401
ENSG00000145321	GC	-0.4	0.113150043	1.1	0.004966584
ENSG00000145354	CISD2	-0.9	0.060243635	0.4	0.019929355
ENSG00000145439	CBR4	1.0	0.030167142	-1.4	0.007040323
ENSG00000145692	BHMT	1.1	4.20121E-4	2.7	7.64E-7
ENSG00000145741	BTF3			-0.2	0.421334217
ENSG00000146085	MMUT	1.5	5.66E-6	-1.0	0.066876027
ENSG00000146425	DYNLT1	-0.4	0.147145387		
ENSG00000146476	ARMT1	-0.2	0.355158691		
ENSG00000146701	MDH2	0.9	1.65254E-4	-1.9	0.002898862
ENSG00000146731	CCT6A	-0.2	0.150205326	0.4	0.104155236
ENSG00000146828	SLC12A9	0.2	0.247565771	-1.0	0.00126877
ENSG00000146833	TRIM4	-0.4	0.043304295	-0.3	0.233955787
ENSG00000147044	CASK	-0.6	0.029613276		
ENSG00000147065	MSN	-0.3	0.006924453	0.9	0.010871813
ENSG00000147123	NDUFB11	1.1	0.045395455	-0.9	0.070878699
ENSG00000147164	SNX12	0.8	0.007916188	-0.6	0.029128847
ENSG00000147274	RBMX	-0.4	0.00283597		
ENSG00000147416	ATP6V1B2	1.7	1.29E-5	-0.5	0.23863458
ENSG00000147475	ERLIN2	0.4	0.041090923		
ENSG00000147604	RPL7			-0.6	0.167650943
ENSG00000147647	DPYS	2.5	0.037959098		
ENSG00000147649	MTDH	-1.1	0.073603639		
ENSG00000147677	EIF3H			-0.1	0.325227226
ENSG00000147872	PLIN2			1.7	0.001708299
ENSG00000148090	AUH	2.2	2.64E-6	-2.2	3.03156E-4
ENSG00000148180	GSN	-0.4	0.001734473	0.5	0.307099222
ENSG00000148218	ALAD	0.8	0.107324997		
ENSG00000148341	SH3GLB2	-0.1	0.469755023		
ENSG00000148444	COMMD3	0.6	0.001134798		
ENSG00000148671	ADIRF	-1.4	2.18912E-4	1.5	9.51234E-4
ENSG00000148672	GLUD1	1.5	8.46E-12	-1.3	0.002773743
ENSG00000148803	FUOM	0.3	0.263186516		
ENSG00000148834	GSTO1			0.4	0.248611036
ENSG00000149131	SERPING1			1.2	1.61E-5
ENSG00000149182	ARFGAP2	-0.5	0.489205642		
ENSG00000149218	ENDOD1	-0.1	0.281042566	-0.4	0.175420629
ENSG00000149257	SERPINH1			1.8	0.002231093
ENSG00000149273	RPS3	-0.4	0.374996676	-0.8	0.025423023
ENSG00000149357	LAMTOR1	0.4	0.197156482	-1.3	8.81E-5
ENSG00000149476	TKFC	2.2	2.3E-7		
ENSG00000149532	CPSF7			0.4	0.149507025
ENSG00000149591	TAGLN	0.6	0.366056893	2.1	0.047833924
ENSG00000149792	MRPL49	0.7	0.322256434	-1.9	0.018115751
ENSG00000149806	FAU			0.7	0.237823757
ENSG00000149925	ALDOA	-1.8	1.11E-7	0.2	0.245025613
ENSG00000150093	ITGB1	0.3	0.069010214		
ENSG00000151176	PLBD2			-0.1	0.30707807
ENSG00000151239	TWF1	-0.2	0.391492975		
ENSG00000151552	QDPR	1.8	8.16E-7	-0.5	0.089791388
ENSG00000151655	ITIH2	-1.2	6.3163E-4		
ENSG00000151729	SLC25A4	1.2	6.07E-5	-1.8	0.001052813
ENSG00000152234	ATP5F1A	1.4	8.24E-11	-2.1	3.42E-6
ENSG00000152291	TGOLN2			0.6	0.121847812
ENSG00000152492	CCDC50	-0.8	1.0638E-4		
ENSG00000152684	PELO	-0.9	0.006187726		
ENSG00000152795	HNRNPDL	-0.2	0.211306146	-0.1	0.283161014
ENSG00000153048	CARHSP1	-1.1	0.003487574	0.2	0.344929339
ENSG00000153071	DAB2	0.9	0.010758632		
ENSG00000153187	HNRNPU	-0.7	6.15E-5		
ENSG00000153774	CFDP1			-0.3	0.185153068
ENSG00000153827	TRIP12	0.3	0.336600418		
ENSG00000153904	DDAH1	0.7	0.05677425		
ENSG00000153944	MSI2	0.1	0.314736835	-0.4	0.047857538
ENSG00000154096	THY1	0.7	1.79604E-4		
ENSG00000154174	TOMM70			-0.8	0.149182106
ENSG00000154277	UCHL1	-1.1	0.09955041		
ENSG00000154473	BUB3			-1.2	0.177593047
ENSG00000154582	ELOC			0.4	0.01355269
ENSG00000154723	ATP5PF	1.3	0.008245208	-1.6	0.00356189
ENSG00000155097	ATP6V1C1	0.6	0.033457862		
ENSG00000155368	DBI	0.8	0.004161463		
ENSG00000155876	RRAGA	-0.3	0.060187569	-0.7	0.378046842
ENSG00000155962	CLIC2	-0.7	0.016172655		
ENSG00000156261	CCT8	-0.7	2.92329E-4		
ENSG00000156467	UQCRB	2.1	0.046093773	-2.6	0.022161462
ENSG00000156482	RPL30	-0.6	0.002729915		
ENSG00000156508	EEF1A1	-0.5	0.185371576		
ENSG00000156510	HKDC1			-0.8	0.081447056
ENSG00000156709	AIFM1	2.4	2.56E-7	-2.7	2.62E-5
ENSG00000156958	GALK2	-0.2	0.443677855		
ENSG00000157020	SEC13	-0.6	0.007765177		
ENSG00000157353	FCSK			-0.6	0.056897158
ENSG00000157578	LCA5L	-0.5	0.004510279	1.0	3.9E-6
ENSG00000157765	SLC34A2			0.5	0.118644272
ENSG00000158604	TMED4	-0.7	0.008008345	0.3	0.15548321
ENSG00000158769	F11R	-0.3	0.494924904		
ENSG00000158874	APOA2	-0.5	0.05960504	1.4	0.002406095
ENSG00000158941	CCAR2	-0.3	0.044038959	-0.1	0.475447342
ENSG00000159023	EPB41			0.5	0.187464236
ENSG00000159189	C1QC	-1.0	0.006765354		
ENSG00000159228	CBR1	0.5	0.002956407	-0.3	0.142370287
ENSG00000159231	CBR3	0.4	0.021379785	-0.3	0.108368978
ENSG00000159335	PTMS	-0.6	0.006896256	1.5	8.47268E-4
ENSG00000159352	PSMD4	1.6	3.42E-6	-1.6	3.22125E-4
ENSG00000159423	ALDH4A1	4.3	3.64E-9	-2.2	0.03480098
ENSG00000159593	NAE1	-0.4	0.010840852	-1.0	1.64E-6
ENSG00000159713	TPPP3	-0.2	0.349545639		
ENSG00000160211	G6PD			0.7	0.197337894
ENSG00000160213	CSTB	-0.5	0.005681526		
ENSG00000160214	RRP1	0.1	0.090554684		
ENSG00000160688	FLAD1			-0.5	0.076520446
ENSG00000160752	FDPS	-0.6	0.008093332	0.8	0.042320637
ENSG00000160789	LMNA	-0.8	9.42E-5	0.4	0.075953883
ENSG00000160862	AZGP1	1.0	0.003771473		
ENSG00000161031	PGLYRP2	-0.3	0.032365579		
ENSG00000161036	LRWD1	-0.3	0.482071854	1.1	0.320566347
ENSG00000161203	AP2M1			0.2	0.313397005
ENSG00000161618	ALDH16A1	-0.2	0.222709163		
ENSG00000161634	DCD			0.8	0.120797093
ENSG00000161960	EIF4A1	-1.1	9.79E-5		
ENSG00000162066	AMDHD2	-0.2	0.12172274	-0.4	6.82965E-4
ENSG00000162244	RPL29	-1.1	4.16E-7	-0.2	0.338998741
ENSG00000162366	PDZK1IP1	2.3	0.081404917	-0.8	0.282675098
ENSG00000162384	CZIB	-0.2	0.067826601		
ENSG00000162433	AK4	1.8	1.58E-11	-0.4	0.189568195
ENSG00000162613	FUBP1	-0.8	0.073514856	-0.7	0.123917163
ENSG00000162704	ARPC5	-0.8	3.53E-5	0.3	0.084078067
ENSG00000162734	PEA15	-0.8	2.77015E-4	1.4	0.001555984
ENSG00000162819	BROX	-0.3	0.260184742	-0.2	0.216818483
ENSG00000162882	HAAO	0.7	0.083494817		
ENSG00000162910	MRPL55	0.8	0.005231298	-0.3	0.269742342
ENSG00000162961	DPY30	-0.4	0.018679119		
ENSG00000163002	NUP35	-0.3	0.046498149		
ENSG00000163131	CTSS	-0.4	0.174207511		
ENSG00000163191	S100A11	-1.6	2.4E-7		
ENSG00000163281	GNPDA2	0.4	0.07159133		
ENSG00000163344	PMVK	-0.2	0.338522626		
ENSG00000163382	NAXE	0.4	0.043495403	-1.0	3.05706E-4
ENSG00000163399	ATP1A1	2.0	8.12E-8	-0.2	0.231196923
ENSG00000163541	SUCLG1	2.3	8.91E-14	-2.2	3.12643E-4
ENSG00000163586	FABP1	5.1	2.06E-11		
ENSG00000163631	ALB	-0.3	0.213851181	0.3	0.14368797
ENSG00000163682	RPL9	-0.8	5.61662E-4		
ENSG00000163815	CLEC3B	0.2	0.265919601	0.5	0.012143607
ENSG00000163882	POLR2H			1.0	0.002888782
ENSG00000163931	TKT	0.1	0.375523408	-1.1	8.67E-6
ENSG00000163956	LRPAP1	-0.3	0.493519323		
ENSG00000164022	AIMP1	0.9	0.001071688	-1.8	1.21879E-4
ENSG00000164039	BDH2	1.5	4.82E-8	-0.8	6.81185E-4
ENSG00000164111	ANXA5	-1.0	2.69E-6	0.9	2.1956E-4
ENSG00000164163	ABCE1	0.7	2.93E-5	-0.6	0.067720304
ENSG00000164237	CMBL	0.6	0.175387546	0.8	0.149584394
ENSG00000164327	RICTOR	-0.2	0.134563919		
ENSG00000164344	KLKB1	-0.4	0.250768352		
ENSG00000164434	FABP7	-6.1	3.26E-8		
ENSG00000164466	SFXN1	0.8	2.27E-6	-1.1	0.023763093
ENSG00000164494	PDSS2	-2.9	1.42E-5	2.7	0.161678469
ENSG00000164548	TRA2A	-0.3	0.033598347		
ENSG00000164587	RPS14	-0.6	0.00616103		
ENSG00000164687	FABP5			1.7	0.131386921
ENSG00000164885	CDK5	-0.9	0.055974386	0.5	0.333664666
ENSG00000164904	ALDH7A1	1.4	4.78E-5	-0.4	0.122283096
ENSG00000164919	COX6C	2.0	4.75E-7	-2.9	1.86931E-4
ENSG00000164924	YWHAZ	-1.1	5.55E-8	0.7	5.43E-5
ENSG00000164961	WASHC5	-0.9	0.004088654	0.6	0.066828931
ENSG00000164985	PSIP1			0.6	0.067537944
ENSG00000165092	ALDH1A1			-1.4	0.008594932
ENSG00000165119	HNRNPK	-0.5	7.61E-6		
ENSG00000165140	FBP1	2.6	2.79E-6	0.4	0.363638105
ENSG00000165168	CYBB			0.7	0.211708157
ENSG00000165280	VCP	-0.5	3.77216E-4	-0.2	0.107975821
ENSG00000165283	STOML2	0.5	0.069713385	-1.7	1.85462E-4
ENSG00000165416	SUGT1			-0.3	0.151944429
ENSG00000165475	CRYL1	1.4	0.003055204		
ENSG00000165476	REEP3	-0.3	0.054384649	0.5	0.058534924
ENSG00000165629	ATP5F1C	1.3	6.88E-10	-1.8	6.08E-7
ENSG00000165637	VDAC2	0.5	0.033955852	-1.2	0.01913376
ENSG00000165672	PRDX3	1.4	2.37E-13	-1.7	0.002142226
ENSG00000166165	CKB	1.0	0.024507254	-1.4	0.005326762
ENSG00000166340	TPP1	-0.2	0.298242544	-0.8	0.017169844
ENSG00000166347	CYB5A	0.9	0.045597864	0.9	0.158765708
ENSG00000166401	SERPINB8	-1.5	0.181443915		
ENSG00000166441	RPL27A			-0.9	0.116846354
ENSG00000166482	MFAP4	-0.4	0.081397942		
ENSG00000166598	HSP90B1	-1.0	0.00204215	1.1	0.001262267
ENSG00000166741	NNMT			1.8	5.28E-5
ENSG00000166794	PPIB	-1.2	7.13196E-4		
ENSG00000166803	PCLAF	-0.5	0.158219921		
ENSG00000166840	GLYATL1	2.6	8.15E-9	-2.2	0.00240929
ENSG00000166913	YWHAB	-0.4	1.25E-5		
ENSG00000166986	MARS1	0.5	0.139630434		
ENSG00000167004	PDIA3	-0.9	3.87834E-4	1.0	9.41599E-4
ENSG00000167005	NUDT21	-0.5	0.002247172		
ENSG00000167085	PHB	0.3	0.05138087	-1.4	5.8E-8
ENSG00000167088	SNRPD1	-0.8	7.56E-6	-0.3	0.486161437
ENSG00000167165	UGT1A6	-0.6	0.036478182	0.4	0.114375099
ENSG00000167193	CRK	-0.1	0.35502116		
ENSG00000167220	HDHD2	1.0	0.080291206	-0.6	0.277829767
ENSG00000167283	ATP5MG	1.8	2.72E-7	-2.2	8.38E-8
ENSG00000167315	ACAA2	1.8	9.5878E-4	-1.6	0.003441432
ENSG00000167460	TPM4	-0.2	0.254241696	1.5	1.76E-7
